event_id_cnty,event_date
YEM86334,2024-03-22
YEM86358,2024-03-22
YEM86402,2024-03-22
YEM86423,2024-03-22
YEM86438,2024-03-22
ARG14861,2024-03-22
ARG14869,2024-03-22
ARG14871,2024-03-22
ARG14876,2024-03-22
BFO11672,2024-03-22
BHR12602,2024-03-22
BHR12605,2024-03-22
BLZ1038,2024-03-22
BRA81005,2024-03-22
BRA81006,2024-03-22
BRA81016,2024-03-22
BRA81018,2024-03-22
BRA81019,2024-03-22
BRA81020,2024-03-22
BRA81038,2024-03-22
BRA81044,2024-03-22
BRA81049,2024-03-22
BRA81052,2024-03-22
BRA81057,2024-03-22
BRA81058,2024-03-22
BUR11643,2024-03-22
CHI11537,2024-03-22
CHI11539,2024-03-22
CHI11541,2024-03-22
CHI11542,2024-03-22
CHI11544,2024-03-22
CHI11546,2024-03-22
CHI11549,2024-03-22
CHI11551,2024-03-22
COL26097,2024-03-22
COL26098,2024-03-22
COL26099,2024-03-22
COL26103,2024-03-22
COL26105,2024-03-22
COL26106,2024-03-22
COL26109,2024-03-22
COL26110,2024-03-22
CRI2032,2024-03-22
DRC32110,2024-03-22
DRC32113,2024-03-22
DRC32114,2024-03-22
DRC32155,2024-03-22
ETH11993,2024-03-22
ETH11994,2024-03-22
ETH11995,2024-03-22
ETH11996,2024-03-22
GUI2801,2024-03-22
HND9472,2024-03-22
HND9478,2024-03-22
HTI6543,2024-03-22
HTI6560,2024-03-22
IRN26870,2024-03-22
IRN26871,2024-03-22
IRN26908,2024-03-22
IRN26909,2024-03-22
IRN26910,2024-03-22
IRQ52706,2024-03-22
IRQ52714,2024-03-22
IRQ52731,2024-03-22
IRQ52733,2024-03-22
IRQ52774,2024-03-22
IRQ52776,2024-03-22
IRQ52798,2024-03-22
IRQ52823,2024-03-22
IRQ52840,2024-03-22
IRQ52841,2024-03-22
IRQ52842,2024-03-22
IRQ52851,2024-03-22
IRQ52894,2024-03-22
ISR39516,2024-03-22
ISR39543,2024-03-22
ISR39552,2024-03-22
ISR39558,2024-03-22
ISR39559,2024-03-22
ISR39561,2024-03-22
JOR2711,2024-03-22
JOR2712,2024-03-22
JOR2713,2024-03-22
JOR2714,2024-03-22
JOR2715,2024-03-22
KEN13919,2024-03-22
KEN13944,2024-03-22
KEN13948,2024-03-22
KEN13949,2024-03-22
LBN19610,2024-03-22
LBN19611,2024-03-22
LBN19612,2024-03-22
LBN19613,2024-03-22
LBN19614,2024-03-22
LBN19615,2024-03-22
LBN19616,2024-03-22
LBN19617,2024-03-22
LBN19618,2024-03-22
LBN19619,2024-03-22
LBN19620,2024-03-22
LBN19621,2024-03-22
LBN19622,2024-03-22
LBN19623,2024-03-22
LBN19624,2024-03-22
LBN19625,2024-03-22
LBN19626,2024-03-22
LBN19627,2024-03-22
LBN19628,2024-03-22
MEX85399,2024-03-22
MEX85409,2024-03-22
MEX85410,2024-03-22
MEX85415,2024-03-22
MEX85417,2024-03-22
MEX85419,2024-03-22
MEX85446,2024-03-22
MEX85512,2024-03-22
MEX85517,2024-03-22
MEX85518,2024-03-22
MEX85519,2024-03-22
MEX85520,2024-03-22
MEX85524,2024-03-22
MEX85525,2024-03-22
MEX85526,2024-03-22
MLI32129,2024-03-22
MLI32148,2024-03-22
MLI32160,2024-03-22
MOR10047,2024-03-22
MOR10048,2024-03-22
MOR10049,2024-03-22
MOR10050,2024-03-22
MOR10051,2024-03-22
MOR10052,2024-03-22
MOR10053,2024-03-22
MOR10054,2024-03-22
MOR10055,2024-03-22
MOR10056,2024-03-22
MOR10057,2024-03-22
MOR10058,2024-03-22
MOR10059,2024-03-22
MOR10060,2024-03-22
MOR10061,2024-03-22
MOR10062,2024-03-22
MOR10063,2024-03-22
MOR10064,2024-03-22
MOR10065,2024-03-22
MOR10066,2024-03-22
MOR10067,2024-03-22
MOR10068,2024-03-22
MOR10069,2024-03-22
MOR10070,2024-03-22
MOR10071,2024-03-22
MOR10072,2024-03-22
MOR10073,2024-03-22
MOR10074,2024-03-22
MOR10075,2024-03-22
MOR10076,2024-03-22
MOR10077,2024-03-22
MOR10078,2024-03-22
MOR10079,2024-03-22
