Instrument,Open Price,High Price,Low Price,Close Price,Price Momentum Daily Volatility,Date
PLTR.K,8.06,8.12,7.97,8.0,4.209663,2023-03-28
PLTR.K,8.09,8.25,8.0512,8.22,,2023-03-29
PLTR.K,8.33,8.38,8.05,8.15,,2023-03-30
PLTR.K,8.15,8.48,8.08,8.45,,2023-03-31
PLTR.K,8.37,8.53,8.21,8.38,,2023-04-03
PLTR.K,8.53,8.54,8.23,8.35,,2023-04-04
PLTR.K,8.63,8.65,7.84,7.98,,2023-04-05
PLTR.K,7.88,8.14,7.79,8.09,,2023-04-06
PLTR.K,8.0,8.44,7.9,8.39,,2023-04-10
PLTR.K,8.35,8.79,8.34,8.61,,2023-04-11
PLTR.K,8.75,8.775,8.3,8.33,,2023-04-12
PLTR.K,8.5,8.7,8.43,8.58,,2023-04-13
PLTR.K,8.53,8.91,8.47,8.81,,2023-04-14
PLTR.K,8.81,9.04,8.78,8.8,,2023-04-17
PLTR.K,8.93,9.02,8.72,8.73,,2023-04-18
PLTR.K,8.58,8.6575,8.48,8.49,,2023-04-19
PLTR.K,8.29,8.5,8.13,8.15,,2023-04-20
PLTR.K,8.14,8.22,8.09,8.18,,2023-04-21
PLTR.K,8.16,8.25,7.94,8.1,,2023-04-24
PLTR.K,8.0,8.02,7.73,7.74,,2023-04-25
PLTR.K,7.87,7.91,7.65,7.74,,2023-04-26
PLTR.K,7.83,7.91,7.72,7.82,,2023-04-27
PLTR.K,7.77,8.0,7.62,7.75,,2023-04-28
PLTR.K,7.75,7.82,7.66,7.78,,2023-05-01
PLTR.K,7.72,7.91,7.43,7.59,,2023-05-02
PLTR.K,7.62,7.68,7.45,7.56,,2023-05-03
PLTR.K,7.47,7.52,7.28,7.38,,2023-05-04
PLTR.K,7.44,7.55,7.32,7.41,,2023-05-05
PLTR.K,7.64,7.855,7.59,7.74,,2023-05-08
PLTR.K,9.22,9.69,8.655,9.55,,2023-05-09
PLTR.K,9.73,10.3,9.46,9.94,,2023-05-10
PLTR.K,10.14,10.1591,9.71,9.88,,2023-05-11
PLTR.K,9.86,10.01,9.47,9.5,,2023-05-12
PLTR.K,9.21,9.6,9.02,9.52,,2023-05-15
PLTR.K,9.4,9.63,9.35,9.47,,2023-05-16
PLTR.K,9.54,10.285,9.46,10.25,,2023-05-17
PLTR.K,10.46,11.81,10.39,11.74,,2023-05-18
PLTR.K,11.97,12.41,11.52,11.71,,2023-05-19
PLTR.K,11.62,12.105,11.39,11.84,,2023-05-22
PLTR.K,11.95,13.42,11.87,12.64,,2023-05-23
PLTR.K,12.05,12.43,11.82,12.23,,2023-05-24
PLTR.K,13.18,13.22,12.34,12.84,,2023-05-25
PLTR.K,12.84,14.195,12.82,13.65,,2023-05-26
PLTR.K,14.44,15.005,14.24,14.71,,2023-05-30
PLTR.K,14.19,14.79,13.82,14.71,,2023-05-31
PLTR.K,14.46,15.22,14.2,14.54,,2023-06-01
PLTR.K,14.65,15.03,14.16,14.52,,2023-06-02
PLTR.K,14.365,15.7,14.35,15.24,,2023-06-05
PLTR.K,15.3,15.58,14.92,15.46,,2023-06-06
PLTR.K,16.01,17.16,14.52,14.69,,2023-06-07
PLTR.K,14.44,15.59,14.39,15.19,,2023-06-08
PLTR.K,15.36,15.98,14.82,15.02,,2023-06-09
PLTR.K,15.44,16.03,15.33,15.65,,2023-06-12
PLTR.K,16.18,16.27,15.1625,16.0,,2023-06-13
PLTR.K,15.93,16.19,15.44,15.91,,2023-06-14
PLTR.K,15.66,16.79,15.49,16.6,,2023-06-15
PLTR.K,16.87,16.91,16.01,16.3,,2023-06-16
PLTR.K,15.99,16.89,15.58,15.79,,2023-06-20
PLTR.K,15.66,15.755,14.37,14.64,,2023-06-21
PLTR.K,14.3,14.44,13.86,14.05,,2023-06-22
PLTR.K,13.64,14.14,13.56,14.03,,2023-06-23
PLTR.K,13.87,14.42,13.83,13.94,,2023-06-26
PLTR.K,14.22,14.76,13.96,14.61,,2023-06-27
PLTR.K,14.53,15.43,14.465,15.28,,2023-06-28
PLTR.K,15.4,15.57,15.06,15.2,,2023-06-29
PLTR.K,15.48,15.8,15.23,15.33,,2023-06-30
PLTR.K,15.49,15.59,15.19,15.52,,2023-07-03
PLTR.K,15.425,15.77,15.23,15.7,,2023-07-05
PLTR.K,15.32,15.3827,14.62,15.13,,2023-07-06
PLTR.K,15.23,15.9,15.19,15.34,,2023-07-07
PLTR.K,15.37,16.33,14.945,16.3,,2023-07-10
PLTR.K,16.47,16.93,16.15,16.49,,2023-07-11
PLTR.K,16.78,16.94,16.41,16.59,,2023-07-12
PLTR.K,16.7,17.26,16.631,16.74,,2023-07-13
PLTR.K,16.76,17.0,16.27,16.4,,2023-07-14
PLTR.K,16.42,17.59,16.32,17.4,,2023-07-17
PLTR.K,17.88,18.13,17.19,18.08,,2023-07-18
PLTR.K,18.02,18.995,17.76,18.05,,2023-07-19
PLTR.K,17.54,18.0,16.98,17.13,,2023-07-20
PLTR.K,17.47,17.49,16.0,16.43,,2023-07-21
PLTR.K,16.61,16.69,16.12,16.32,,2023-07-24
PLTR.K,16.35,16.86,16.35,16.55,,2023-07-25
PLTR.K,16.4,16.69,16.13,16.43,,2023-07-26
PLTR.K,16.8,17.19,16.0,16.15,,2023-07-27
PLTR.K,17.21,17.97,16.74,17.81,,2023-07-28
PLTR.K,18.82,19.995,18.38,19.84,,2023-07-31
PLTR.K,19.46,20.2399,19.23,19.99,,2023-08-01
PLTR.K,19.26,19.62,18.15,18.97,,2023-08-02
PLTR.K,18.63,19.3,18.61,18.71,,2023-08-03
PLTR.K,18.874,19.08,18.08,18.2,,2023-08-04
PLTR.K,18.25,18.39,17.01,17.99,,2023-08-07
PLTR.K,17.49,17.49,16.1,17.04,,2023-08-08
PLTR.K,16.76,16.92,15.1,15.25,,2023-08-09
PLTR.K,15.44,15.87,15.25,15.41,,2023-08-10
PLTR.K,15.05,15.58,14.91,15.41,,2023-08-11
PLTR.K,15.2,15.74,14.95,15.72,,2023-08-14
PLTR.K,15.61,15.87,15.29,15.37,,2023-08-15
PLTR.K,15.21,15.725,15.12,15.45,,2023-08-16
PLTR.K,15.39,15.4373,14.035,14.15,,2023-08-17
PLTR.K,13.88,14.6,13.68,14.4,,2023-08-18
PLTR.K,14.42,14.78,14.34,14.5,,2023-08-21
PLTR.K,14.76,15.13,14.63,14.67,,2023-08-22
PLTR.K,14.5,15.47,14.42,15.3,,2023-08-23
PLTR.K,15.7,15.71,13.875,14.14,,2023-08-24
PLTR.K,14.14,14.6499,14.01,14.53,,2023-08-25
PLTR.K,14.69,14.88,14.5,14.64,,2023-08-28
PLTR.K,14.6,15.63,14.5,15.4,,2023-08-29
PLTR.K,15.46,16.35,15.33,16.33,,2023-08-30
PLTR.K,15.6,15.85,14.65,14.98,,2023-08-31
PLTR.K,15.16,15.365,14.83,15.18,,2023-09-01
PLTR.K,15.08,15.42,14.9,15.21,,2023-09-05
PLTR.K,15.17,15.62,15.08,15.3,,2023-09-06
PLTR.K,14.88,15.24,14.29,15.21,,2023-09-07
PLTR.K,15.12,15.61,15.085,15.13,,2023-09-08
PLTR.K,15.41,16.1,15.36,15.79,,2023-09-11
PLTR.K,15.46,16.15,15.43,15.59,,2023-09-12
PLTR.K,15.63,15.8496,15.42,15.6,,2023-09-13
PLTR.K,15.69,16.04,15.47,15.83,,2023-09-14
PLTR.K,15.77,15.9,15.17,15.33,,2023-09-15
PLTR.K,15.18,15.63,15.07,15.46,,2023-09-18
PLTR.K,15.34,15.519,14.95,15.15,,2023-09-19
PLTR.K,15.25,15.425,14.7325,14.74,,2023-09-20
PLTR.K,14.34,14.599,13.68,14.0,,2023-09-21
PLTR.K,14.23,14.415,14.03,14.13,,2023-09-22
PLTR.K,14.0,14.24,13.82,14.22,,2023-09-25
PLTR.K,13.95,14.17,13.88,13.96,,2023-09-26
PLTR.K,14.2,14.96,14.16,14.85,,2023-09-27
PLTR.K,15.14,15.96,14.825,15.77,,2023-09-28
PLTR.K,16.11,16.81,15.96,16.0,,2023-09-29
PLTR.K,16.03,16.44,15.77,15.88,,2023-10-02
PLTR.K,15.61,15.77,14.82,14.9,,2023-10-03
PLTR.K,15.46,15.85,15.16,15.73,,2023-10-04
PLTR.K,15.59,15.9,15.41,15.81,,2023-10-05
PLTR.K,15.56,16.695,15.51,16.61,,2023-10-06
PLTR.K,16.27,17.83,16.22,17.61,,2023-10-09
PLTR.K,18.06,18.4,17.62,17.8,,2023-10-10
PLTR.K,17.87,18.44,17.73,17.92,,2023-10-11
PLTR.K,17.92,18.24,17.5508,17.94,,2023-10-12
