Date,Open Price,High Price,Low Price,Close Price
2021-03-15,22.48,22.5,21.39,21.73
2021-03-16,21.36,22.09,20.86,22.04
2021-03-17,22.5,23.85,22.38,23.29
2021-03-18,23.95,23.95,22.73,23.07
2021-03-22,23.78,24.45,23.3401,23.44
2021-03-23,23.55,23.61,22.83,23.27
2021-03-24,23.0,23.55,22.81,22.9
2021-03-25,23.2,23.6,22.74,23.41
2021-03-26,23.46,24.35,23.37,24.04
2021-03-29,24.52,24.55,22.73,23.34
2021-03-30,23.19,25.6585,23.12,25.42
2021-03-31,25.35,26.2,23.65,23.7
2021-04-01,24.01,24.06,22.69,23.15
2021-04-02,22.86,23.26,22.3,22.47
2021-04-05,22.15,22.33,21.53,21.94
2021-04-06,21.96,22.55,21.24,21.78
2021-04-07,21.65,22.64,21.43,22.63
2021-04-08,22.94,23.51,22.51,22.86
2021-04-09,22.89,23.55,22.74,23.41
2021-04-12,23.69,24.26,23.46,24.11
2021-04-13,24.17,24.26,23.57,23.88
2021-04-14,23.67,24.17,23.42,23.85
2021-04-15,23.87,24.14,22.81,23.37
2021-04-16,23.18,23.55,22.84,23.04
2021-04-19,23.01,23.08,22.21,22.3
2021-04-20,21.94,22.2,20.87,21.64
2021-04-21,21.81,21.94,20.97,21.15
2021-04-22,21.02,21.02,19.41,20.09
2021-04-23,20.3,20.75,19.58,19.75
2021-04-26,19.28,19.3,18.18,18.47
2021-04-27,17.2,20.3,17.055,20.21
2021-04-28,20.0,20.0,18.51,18.89
2021-04-29,19.14,19.47,17.82,18.37
2021-04-30,18.82,20.2,18.53,20.08
2021-05-03,19.73,20.49,19.63,20.46
2021-05-04,20.52,21.62,20.26,21.24
2021-05-05,20.1,21.035,19.94,20.67
2021-05-06,20.75,20.81,20.28,20.61
2021-05-07,20.84,21.16,20.47,20.75
2021-05-10,21.06,21.52,20.675,21.22
2021-05-11,21.42,22.11,21.28,21.48
2021-05-12,21.58,22.24,21.49,22.12
2021-05-13,22.01,22.7,21.65,22.7
2021-05-14,23.0,24.75,22.76,22.95
2021-05-18,23.19,23.3499,22.36,23.06
2021-05-19,23.02,24.84,22.82,24.45
2021-05-20,24.14,24.26,23.34,23.63
2021-05-21,23.71,24.49,23.5,24.03
2021-05-24,24.0,24.76,23.79,24.46
2021-05-25,24.85,25.23,23.93,24.38
2021-05-26,24.45,24.74,24.17,24.17
2021-05-27,24.0,24.39,23.44,24.14
2021-05-28,24.12,24.71,24.03,24.67
2021-05-31,24.73,25.15,24.47,25.0
2021-06-01,25.03,25.55,24.39,24.41
2021-06-02,24.09,24.94,23.86,24.8
2021-06-03,24.68,25.46,24.55,25.45
2021-06-04,25.59,25.94,25.02,25.37
2021-06-07,25.1,25.55,24.51,25.42
2021-06-08,25.39,25.52,24.96,25.4
2021-06-09,25.46,26.35,25.34,26.27
2021-06-10,26.49,26.71,26.17,26.53
2021-06-11,26.58,27.01,26.245,26.78
2021-06-14,26.98,27.5,26.86,27.38
2021-06-15,27.38,27.44,26.44,26.63
2021-06-16,26.48,26.92,26.21,26.36
2021-06-17,26.1,26.13,24.59,24.72
2021-06-18,25.0,25.34,24.33,24.44
2021-06-22,24.6,25.2,24.47,24.68
2021-06-23,24.23,24.26,22.72,22.89
2021-06-24,22.43,23.21,22.25,23.08
2021-06-25,22.96,23.39,22.76,23.29
2021-06-28,23.26,23.495,22.88,22.95
2021-06-29,22.98,22.99,22.42,22.45
2021-06-30,22.49,22.62,21.51,21.56
2021-07-01,21.72,22.055,21.01,21.47
2021-07-02,21.6,21.71,21.24,21.37
2021-07-05,20.97,21.69,20.55,21.54
2021-07-06,21.63,22.35,21.22,22.18
2021-07-07,22.27,22.68,22.12,22.52
2021-07-08,22.55,22.67,21.88,22.07
2021-07-09,22.01,22.08,21.51,21.81
2021-07-12,21.8,22.3,21.48,22.13
2021-07-13,21.96,22.11,21.09,21.68
2021-07-14,21.75,22.615,21.69,22.56
2021-07-15,22.78,22.85,22.14,22.18
2021-07-16,21.85,22.406,21.71,21.71
2021-07-19,21.91,22.37,21.48,22.1
2021-07-20,22.03,22.27,21.71,22.24
2021-07-21,22.2,22.54,22.07,22.3
2021-07-22,22.22,22.77,22.02,22.52
2021-07-23,22.64,22.69,21.79,21.82
2021-07-26,21.85,23.28,21.8,22.93
2021-07-27,23.01,23.52,22.78,22.92
2021-07-28,23.07,23.19,22.09,22.35
2021-07-29,24.45,25.76,23.585,24.89
2021-07-30,25.0,25.1,24.31,24.9
2021-08-02,24.9,24.9,23.77,24.5
2021-08-03,23.9,24.59,23.74,23.97
2021-08-04,24.07,25.94,23.68,25.28
2021-08-05,25.01,25.64,24.14,24.16
2021-08-06,24.22,24.48,23.66,24.01
2021-08-09,24.02,24.93,23.9,24.82
2021-08-10,25.0,25.35,24.76,25.1
2021-08-11,25.12,25.19,24.07,24.35
2021-08-12,24.4,25.41,24.36,24.87
2021-08-13,25.05,26.09,24.91,25.71
2021-08-16,25.74,26.6,25.62,25.76
2021-08-17,25.79,26.36,25.66,26.34
2021-08-18,26.46,26.51,26.03,26.2
2021-08-19,26.21,26.87,26.09,26.51
2021-08-20,26.49,26.75,26.22,26.64
2021-08-24,26.79,26.88,26.2701,26.7
2021-08-25,26.6,26.61,24.96,25.58
2021-08-26,25.39,26.24,25.29,26.13
2021-08-27,26.18,26.73,26.17,26.28
2021-08-30,26.15,26.239,25.03,25.83
2021-08-31,25.97,26.7,25.9,26.26
2021-09-01,26.3,27.15,26.03,27.08
2021-09-02,27.2,28.79,27.02,28.63
2021-09-03,28.66,29.29,28.07,28.71
2021-09-06,27.57,28.0999,26.06,26.55
2021-09-07,26.89,27.149,26.08,26.62
2021-09-08,26.61,27.77,26.5822,27.43
2021-09-09,27.71,29.19,27.67,28.77
2021-09-10,28.27,28.76,27.9014,28.56
2021-09-13,28.23,28.38,27.23,27.47
2021-09-14,27.02,27.13,25.21,25.34
2021-09-15,25.61,25.7,24.42,24.52
2021-09-16,24.69,25.05,23.88,24.04
2021-09-17,24.21,24.36,23.72,24.33
2021-09-20,24.01,24.05,23.02,23.17
2021-09-21,23.21,23.88,23.07,23.21
2021-09-22,24.91,25.01,23.35,23.58
2021-09-23,23.71,24.13,23.54,23.73
2021-09-24,23.86,24.0955,23.11,23.5
2021-09-27,23.26,23.98,23.26,23.53
2021-09-28,23.55,23.81,23.29,23.69
2021-09-29,23.83,24.31,23.79,24.13
2021-09-30,24.43,24.71,24.205,24.35
2021-10-01,24.5,24.52,23.83,24.0
2021-10-04,24.0,24.39,23.92,24.26
2021-10-05,24.5,25.2,24.36,24.69
2021-10-06,24.79,24.96,24.17,24.22
2021-10-07,24.13,24.93,24.08,24.78
2021-10-08,24.49,24.85,24.25,24.43
2021-10-11,24.5,25.54,24.48,25.41
2021-10-12,25.99,26.75,25.25,25.52
2021-10-13,25.64,25.9,25.02,25.06
2021-10-14,25.3,25.795,25.12,25.64
2021-10-15,25.5,26.12,25.45,25.88
2021-10-18,26.11,26.645,25.8828,26.56
2021-10-19,26.56,26.72,25.555,25.92
2021-10-20,25.89,26.235,25.17,26.12
2021-10-21,26.26,26.57,25.87,26.47
2021-10-22,26.45,26.63,25.72,26.0
2021-10-25,26.25,27.11,26.12,26.75
2021-10-26,25.9,25.98,23.95,24.25
2021-10-27,23.6,23.64,22.12,22.52
2021-10-28,23.04,23.1299,22.665,22.99
2021-10-29,23.02,23.225,22.38,22.83
2021-11-01,23.0,23.52,22.95,23.41
2021-11-02,23.29,23.29,22.61,23.13
