Date,Instrument,Price Close
2021-03-29,.SPX,3971.09
2021-03-30,.SPX,3958.55
2021-03-31,.SPX,3972.89
2021-04-01,.SPX,4019.87
2021-04-01,.SPX,4019.87
2021-04-05,.SPX,4077.91
2021-04-06,.SPX,4073.94
2021-04-07,.SPX,4079.95
2021-04-08,.SPX,4097.17
2021-04-09,.SPX,4128.8
2021-04-12,.SPX,4127.99
2021-04-13,.SPX,4141.59
2021-04-14,.SPX,4124.66
2021-04-15,.SPX,4170.42
2021-04-16,.SPX,4185.47
2021-04-19,.SPX,4163.26
2021-04-20,.SPX,4134.94
2021-04-21,.SPX,4173.42
2021-04-22,.SPX,4134.98
2021-04-23,.SPX,4180.17
2021-04-26,.SPX,4187.62
2021-04-27,.SPX,4186.72
2021-04-28,.SPX,4183.18
2021-04-29,.SPX,4211.47
2021-04-30,.SPX,4181.17
2021-05-03,.SPX,4192.66
2021-05-04,.SPX,4164.66
2021-05-05,.SPX,4167.59
2021-05-06,.SPX,4201.62
2021-05-07,.SPX,4232.6
2021-05-10,.SPX,4188.43
2021-05-11,.SPX,4152.1
2021-05-12,.SPX,4063.04
2021-05-13,.SPX,4112.5
2021-05-14,.SPX,4173.85
2021-05-17,.SPX,4163.29
2021-05-18,.SPX,4127.83
2021-05-19,.SPX,4115.68
2021-05-20,.SPX,4159.12
2021-05-21,.SPX,4155.86
2021-05-24,.SPX,4197.05
2021-05-25,.SPX,4188.13
2021-05-26,.SPX,4195.99
2021-05-27,.SPX,4200.88
2021-05-28,.SPX,4204.11
2021-05-28,.SPX,4204.11
2021-06-01,.SPX,4202.04
2021-06-02,.SPX,4208.12
2021-06-03,.SPX,4192.85
2021-06-04,.SPX,4229.89
2021-06-07,.SPX,4226.52
2021-06-08,.SPX,4227.26
2021-06-09,.SPX,4219.55
2021-06-10,.SPX,4239.18
2021-06-11,.SPX,4247.44
2021-06-14,.SPX,4255.15
2021-06-15,.SPX,4246.59
2021-06-16,.SPX,4223.7
2021-06-17,.SPX,4221.86
2021-06-18,.SPX,4166.45
2021-06-21,.SPX,4224.79
2021-06-22,.SPX,4246.44
2021-06-23,.SPX,4241.84
2021-06-24,.SPX,4266.49
2021-06-25,.SPX,4280.7
2021-06-28,.SPX,4290.61
2021-06-29,.SPX,4291.8
2021-06-30,.SPX,4297.5
2021-07-01,.SPX,4319.94
2021-07-02,.SPX,4352.34
2021-07-02,.SPX,4352.34
2021-07-06,.SPX,4343.54
2021-07-07,.SPX,4358.13
2021-07-08,.SPX,4320.82
2021-07-09,.SPX,4369.55
2021-07-12,.SPX,4384.63
2021-07-13,.SPX,4369.21
2021-07-14,.SPX,4374.3
2021-07-15,.SPX,4360.03
2021-07-16,.SPX,4327.16
2021-07-19,.SPX,4258.49
2021-07-20,.SPX,4323.06
2021-07-21,.SPX,4358.69
2021-07-22,.SPX,4367.48
2021-07-23,.SPX,4411.79
2021-07-26,.SPX,4422.3
2021-07-27,.SPX,4401.46
