Date,Count
9/6/2022,418
9/7/2022,1502
9/8/2022,2425
9/9/2022,3303
9/10/2022,4136
9/11/2022,4833
9/12/2022,5762
9/13/2022,6636
9/14/2022,7575
9/15/2022,8526
9/16/2022,9359
9/17/2022,10176
9/18/2022,10881
9/19/2022,11881
9/20/2022,12355
9/21/2022,12461
9/22/2022,12608
9/23/2022,12772
9/24/2022,12867
9/25/2022,12893
9/26/2022,12927
9/27/2022,13035
9/28/2022,13093
9/29/2022,13251
9/30/2022,13189
10/1/2022,13250
10/2/2022,13229
10/3/2022,13186
10/4/2022,13213
10/5/2022,12922
10/6/2022,12768
10/7/2022,12547
10/8/2022,12542
10/9/2022,12483
10/10/2022,12435
10/11/2022,12331
10/12/2022,12333
10/13/2022,12074
10/14/2022,12172
10/15/2022,12174
10/16/2022,12197
10/17/2022,12214
10/18/2022,12366
10/19/2022,12398
10/20/2022,12328
10/21/2022,12291
10/22/2022,12296
10/23/2022,12277
10/24/2022,12229
10/25/2022,12149
10/26/2022,12008
10/27/2022,12167
10/28/2022,12049
10/29/2022,12038
10/30/2022,12089
10/31/2022,12241
11/1/2022,12442
11/2/2022,12695
11/3/2022,12931
11/4/2022,13029
11/5/2022,12897
11/6/2022,12931
11/7/2022,12954
11/8/2022,12946
11/9/2022,12936
11/10/2022,12908
11/11/2022,12993
11/12/2022,12873
11/13/2022,12884
11/14/2022,12594
11/15/2022,12248
11/16/2022,11906
11/17/2022,11787
11/18/2022,11815
11/19/2022,11938
11/20/2022,12032
11/21/2022,12139
11/22/2022,12225
11/23/2022,12286
11/24/2022,12139
11/25/2022,12261
11/26/2022,12192
11/27/2022,12081
11/28/2022,12074
11/29/2022,12000
11/30/2022,12056
12/1/2022,11927
12/2/2022,11797
12/3/2022,11520
12/4/2022,11360
12/5/2022,11295
12/6/2022,11283
12/7/2022,11250
12/8/2022,11297
12/9/2022,11054
12/10/2022,11119
12/11/2022,11109
12/12/2022,11155
12/13/2022,11066
12/14/2022,10937
12/15/2022,10991
12/16/2022,10951
12/17/2022,11024
12/18/2022,10991
12/19/2022,10822
12/20/2022,10673
12/21/2022,10500
12/22/2022,10218
12/23/2022,10108
12/24/2022,9991
12/25/2022,9789
12/26/2022,9531
12/27/2022,9332
12/28/2022,9231
12/29/2022,8970
12/30/2022,8843
12/31/2022,8695
1/1/2023,8710
1/2/2023,8599
1/3/2023,8516
1/4/2023,8561
1/5/2023,8652
1/6/2023,8731
1/7/2023,8799
1/8/2023,9021
1/9/2023,9335
1/10/2023,9571
1/11/2023,9696
1/12/2023,9865
1/13/2023,9985
1/14/2023,10106
1/15/2023,10142
1/16/2023,10426
1/17/2023,10656
1/18/2023,10760
1/19/2023,11159
1/20/2023,11273
1/21/2023,11377
1/22/2023,11477
1/23/2023,11539
1/24/2023,11704
1/25/2023,11862
1/26/2023,12054
1/27/2023,12160
1/28/2023,12319
1/29/2023,12415
1/30/2023,12410
1/31/2023,12605
2/1/2023,12718
2/2/2023,12526
2/3/2023,12495
2/4/2023,12399
2/5/2023,12374
2/6/2023,12308
2/7/2023,12355
2/8/2023,12238
2/9/2023,12124
2/10/2023,12052
2/11/2023,12206
2/12/2023,12010
2/13/2023,11917
2/14/2023,11751
2/15/2023,11697
2/16/2023,11816
2/17/2023,11804
2/18/2023,11768
2/19/2023,11636
2/20/2023,11581
2/21/2023,11341
2/22/2023,11422
2/23/2023,11421
2/24/2023,11790
2/25/2023,11644
2/26/2023,11923
2/27/2023,12075
2/28/2023,12075
3/1/2023,12115
3/2/2023,11949
3/3/2023,12188
3/4/2023,12386
3/5/2023,12452
3/6/2023,12515
3/7/2023,12802
3/8/2023,13354
3/9/2023,13459
3/10/2023,13093
3/11/2023,13133
3/12/2023,12964
3/13/2023,12974
3/14/2023,13027
3/15/2023,13212
3/16/2023,13414
3/17/2023,13224
3/18/2023,13235
3/19/2023,13174
3/20/2023,13350
3/21/2023,13288
3/22/2023,12802
3/23/2023,13056
3/24/2023,13067
3/25/2023,12927
3/26/2023,13292
3/27/2023,13251
3/28/2023,13284
3/29/2023,12969
3/30/2023,12891
3/31/2023,12911
4/1/2023,12765
4/2/2023,12736
4/3/2023,12478
4/4/2023,12268
4/5/2023,12297
4/6/2023,11993
4/7/2023,11863
4/8/2023,11868
4/9/2023,11475
4/10/2023,11326
4/11/2023,11153
4/12/2023,11146
4/13/2023,11045
4/14/2023,11086
4/15/2023,11117
4/16/2023,11270
4/17/2023,11273
4/18/2023,11354
4/19/2023,11250
4/20/2023,11114
4/21/2023,11159
4/22/2023,11116
4/23/2023,11088
4/24/2023,11195
4/25/2023,11186
4/26/2023,11260
4/27/2023,11285
4/28/2023,11188
4/29/2023,11157
4/30/2023,10970
5/1/2023,11839
5/2/2023,11870
5/3/2023,11859
5/4/2023,11939
5/5/2023,11988
5/6/2023,11998
5/7/2023,12024
5/8/2023,11948
5/9/2023,12153
5/10/2023,12171
5/11/2023,12289
5/12/2023,12346
5/13/2023,12415
5/14/2023,12547
5/15/2023,11703
5/16/2023,11692
5/17/2023,11644
5/18/2023,11580
5/19/2023,11614
5/20/2023,11687
5/21/2023,11701
5/22/2023,11709
5/23/2023,11559
5/24/2023,11547
5/25/2023,11368
5/26/2023,11352
5/27/2023,11285
5/28/2023,11384
5/29/2023,11382
5/30/2023,11391
5/31/2023,11526
6/1/2023,11740
6/2/2023,11751
6/3/2023,11810
6/4/2023,11860
6/5/2023,11971
6/6/2023,12230
6/7/2023,12316
6/8/2023,12367
6/9/2023,12355
6/10/2023,12352
6/11/2023,12264
6/12/2023,12235
6/13/2023,12223
6/14/2023,12241
6/15/2023,12210
6/16/2023,12257
6/17/2023,12343
6/18/2023,12339
6/19/2023,12202
6/20/2023,12058
6/21/2023,12101
6/22/2023,12133
6/23/2023,12165
6/24/2023,12318
6/25/2023,12315
6/26/2023,12352
6/27/2023,12267
6/28/2023,12197
6/29/2023,12157
6/30/2023,12111
7/1/2023,11924
7/2/2023,11893
7/3/2023,12091
7/4/2023,12079
7/5/2023,11990
7/6/2023,11890
7/7/2023,12104
7/8/2023,12078
7/9/2023,12039
7/10/2023,11972
7/11/2023,12040
7/12/2023,12133
7/13/2023,12021
7/14/2023,11978
7/15/2023,11960
7/16/2023,11953
7/17/2023,11744
7/18/2023,11686
7/19/2023,11782
7/20/2023,11918
7/21/2023,11842
7/22/2023,11746
7/23/2023,11793
7/24/2023,11898
7/25/2023,11895
7/26/2023,11833
7/27/2023,11928
7/28/2023,11901
7/29/2023,11858
7/30/2023,11838
7/31/2023,11945
8/1/2023,11880
8/2/2023,11776
8/3/2023,11634
8/4/2023,11500
8/5/2023,11568
8/6/2023,11531
8/7/2023,11475
8/8/2023,11361
8/9/2023,11304
8/10/2023,11261
8/11/2023,11310
8/12/2023,11358
8/13/2023,11454
8/14/2023,11370
8/15/2023,11405
8/16/2023,11392
8/17/2023,11411
8/18/2023,11411
8/19/2023,11367
8/20/2023,11463
8/21/2023,11493
8/22/2023,11624
8/23/2023,11646
8/24/2023,11672
8/25/2023,11806
8/26/2023,11885
8/27/2023,11981
8/28/2023,12141
8/29/2023,12206
8/30/2023,12298
8/31/2023,12284
9/1/2023,12322
9/2/2023,12495
9/3/2023,12410
9/4/2023,12508
9/5/2023,12564
9/6/2023,12484
9/7/2023,12465
9/8/2023,12454
9/9/2023,12398
9/10/2023,12305
9/11/2023,12355
9/12/2023,12311
9/13/2023,12200
9/14/2023,12205
9/15/2023,12315
9/16/2023,12188
9/17/2023,12186
9/18/2023,12154
9/19/2023,12253
9/20/2023,12379
9/21/2023,12458
9/22/2023,12417
9/23/2023,12597
9/24/2023,12474
9/25/2023,12366
9/26/2023,12462
9/27/2023,12535
9/28/2023,12573
9/29/2023,12341
9/30/2023,12307
10/1/2023,12365
10/2/2023,12272
10/3/2023,12221
10/4/2023,12184
10/5/2023,12152
10/6/2023,12167
10/7/2023,12250
10/8/2023,12683
10/9/2023,13068
10/10/2023,13217
10/11/2023,13371
10/12/2023,13575
10/13/2023,14286
10/14/2023,14536
10/15/2023,14746
10/16/2023,14842
10/17/2023,15032
10/18/2023,15616
10/19/2023,15846
10/20/2023,16138
10/21/2023,16167
10/22/2023,16131
10/23/2023,15818
10/24/2023,15690
10/25/2023,15611
10/26/2023,15550
10/27/2023,15299
10/28/2023,15343
10/29/2023,15511
10/30/2023,15635
10/31/2023,15542
11/1/2023,15048
11/2/2023,14855
11/3/2023,14758
11/4/2023,14897
11/5/2023,14807
11/6/2023,14824
11/7/2023,14852
11/8/2023,14752
11/9/2023,14836
11/10/2023,14650
11/11/2023,14510
11/12/2023,14341
11/13/2023,14306
11/14/2023,14291
11/15/2023,14378
11/16/2023,14382
11/17/2023,14344
11/18/2023,14269
11/19/2023,14208
11/20/2023,14128
11/21/2023,13999
11/22/2023,14050
11/23/2023,13927
11/24/2023,13918
11/25/2023,13995
11/26/2023,13760
11/27/2023,13479
11/28/2023,13268
11/29/2023,13052
11/30/2023,12911
12/1/2023,12867
12/2/2023,12646
12/3/2023,12579
12/4/2023,12524
12/5/2023,12612
12/6/2023,12622
12/7/2023,12461
12/8/2023,12317
12/9/2023,12141
12/10/2023,12368
12/11/2023,12676
12/12/2023,12788
12/13/2023,12766
12/14/2023,12744
12/15/2023,12767
12/16/2023,12865
12/17/2023,12802
12/18/2023,12766
12/19/2023,12625
12/20/2023,12641
12/21/2023,12755
12/22/2023,12933
12/23/2023,12915
12/24/2023,12625
12/25/2023,12212
12/26/2023,12007
12/27/2023,11946
12/28/2023,11887
12/29/2023,11726
12/30/2023,11523
12/31/2023,11518
1/1/2024,11411
1/2/2024,11352
1/3/2024,11183
1/4/2024,11116
1/5/2024,11004
1/6/2024,11088
1/7/2024,11284
1/8/2024,11669
1/9/2024,11853
1/10/2024,11989
1/11/2024,12150
1/12/2024,12285
1/13/2024,12402
